Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Octubre 2007,"8,6 €/m2","- 2,5 %","- 3,3 %","- 4,2 %"
Septiembre 2007,"8,8 €/m2","- 0,5 %","- 0,9 %","- 3,8 %"
Agosto 2007,"8,8 €/m2","- 0,3 %","- 0,2 %","- 4,6 %"
Julio 2007,"8,9 €/m2","- 0,1 %","+ 0,9 %","- 5,8 %"
Junio 2007,"8,9 €/m2","+ 0,2 %","+ 0,4 %","- 5,1 %"
Mayo 2007,"8,8 €/m2","+ 0,8 %","+ 2,0 %","- 5,1 %"
Abril 2007,"8,8 €/m2","- 0,5 %","+ 0,5 %","- 6,3 %"
Marzo 2007,"8,8 €/m2","+ 1,7 %","+ 0,4 %","- 4,7 %"
Febrero 2007,"8,7 €/m2","- 0,7 %","- 2,2 %","- 8,8 %"
Enero 2007,"8,7 €/m2","- 0,6 %","- 2,3 %","- 8,3 %"
Diciembre 2006,"8,8 €/m2","- 1,0 %","- 3,8 %",n.d.
Noviembre 2006,"8,9 €/m2","- 0,8 %","- 4,1 %",n.d.
Octubre 2006,"8,9 €/m2","- 2,1 %","- 4,9 %",n.d.
Septiembre 2006,"9,1 €/m2","- 1,3 %","- 2,2 %",n.d.
Agosto 2006,"9,3 €/m2","- 1,6 %","- 0,7 %",n.d.
Julio 2006,"9,4 €/m2","+ 0,7 %","+ 0,4 %",n.d.
Junio 2006,"9,3 €/m2","+ 0,2 %","+ 0,8 %",n.d.
Mayo 2006,"9,3 €/m2","- 0,5 %","- 2,1 %",n.d.
Abril 2006,"9,4 €/m2","+ 1,1 %","- 1,6 %",n.d.
Marzo 2006,"9,3 €/m2","- 2,7 %",n.d.,n.d.
Febrero 2006,"9,5 €/m2","- 0,1 %",n.d.,n.d.
Enero 2006,"9,5 €/m2",n.d.,n.d.,n.d.
