Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
09 Cataluña;Total;2007;84.037
09 Cataluña;Total;2006;82.300
09 Cataluña;Total;2005;79.766
09 Cataluña;Total;2004;76.968
09 Cataluña;Total;2003;73.214
09 Cataluña;Total;2002;68.546
10 Comunitat Valenciana;Total;2020;35.761
10 Comunitat Valenciana;Total;2019;37.324
10 Comunitat Valenciana;Total;2018;38.018
10 Comunitat Valenciana;Total;2017;40.318
10 Comunitat Valenciana;Total;2016;41.997
10 Comunitat Valenciana;Total;2015;43.450
10 Comunitat Valenciana;Total;2014;44.343
10 Comunitat Valenciana;Total;2013;44.185
10 Comunitat Valenciana;Total;2012;47.574
10 Comunitat Valenciana;Total;2011;49.446
10 Comunitat Valenciana;Total;2010;51.684
10 Comunitat Valenciana;Total;2009;52.389
10 Comunitat Valenciana;Total;2008;57.083
10 Comunitat Valenciana;Total;2007;54.478
10 Comunitat Valenciana;Total;2006;52.756
10 Comunitat Valenciana;Total;2005;50.628
10 Comunitat Valenciana;Total;2004;48.954
10 Comunitat Valenciana;Total;2003;47.322
10 Comunitat Valenciana;Total;2002;44.193
11 Extremadura;Total;2020;7.380
11 Extremadura;Total;2019;7.650
11 Extremadura;Total;2018;7.821
11 Extremadura;Total;2017;8.495
11 Extremadura;Total;2016;8.783
11 Extremadura;Total;2015;8.895
11 Extremadura;Total;2014;9.167
11 Extremadura;Total;2013;8.880
11 Extremadura;Total;2012;9.423
11 Extremadura;Total;2011;9.938
11 Extremadura;Total;2010;10.128
11 Extremadura;Total;2009;10.314
11 Extremadura;Total;2008;10.735
11 Extremadura;Total;2007;9.981
11 Extremadura;Total;2006;10.118
11 Extremadura;Total;2005;9.993
11 Extremadura;Total;2004;9.899
11 Extremadura;Total;2003;9.962
11 Extremadura;Total;2002;9.778
12 Galicia;Total;2020;15.247
12 Galicia;Total;2019;15.718
12 Galicia;Total;2018;16.560
12 Galicia;Total;2017;18.445
12 Galicia;Total;2016;19.062
12 Galicia;Total;2015;19.427
12 Galicia;Total;2014;19.630
12 Galicia;Total;2013;19.727
12 Galicia;Total;2012;21.089
12 Galicia;Total;2011;21.594
12 Galicia;Total;2010;22.047
12 Galicia;Total;2009;22.537
12 Galicia;Total;2008;23.175
12 Galicia;Total;2007;21.752
12 Galicia;Total;2006;21.392
12 Galicia;Total;2005;21.097
12 Galicia;Total;2004;20.621
12 Galicia;Total;2003;20.423
12 Galicia;Total;2002;19.327
13 Madrid, Comunidad de;Total;2020;52.357
13 Madrid, Comunidad de;Total;2019;55.741
13 Madrid, Comunidad de;Total;2018;57.554
13 Madrid, Comunidad de;Total;2017;60.555
13 Madrid, Comunidad de;Total;2016;63.112
13 Madrid, Comunidad de;Total;2015;64.879
13 Madrid, Comunidad de;Total;2014;65.505
13 Madrid, Comunidad de;Total;2013;65.343
13 Madrid, Comunidad de;Total;2012;69.374
13 Madrid, Comunidad de;Total;2011;72.023
13 Madrid, Comunidad de;Total;2010;73.878
13 Madrid, Comunidad de;Total;2009;75.957
13 Madrid, Comunidad de;Total;2008;78.792
13 Madrid, Comunidad de;Total;2007;74.837
13 Madrid, Comunidad de;Total;2006;71.912
13 Madrid, Comunidad de;Total;2005;69.367
13 Madrid, Comunidad de;Total;2004;69.027
13 Madrid, Comunidad de;Total;2003;67.046
13 Madrid, Comunidad de;Total;2002;63.156
14 Murcia, Región de;Total;2020;13.706
14 Murcia, Región de;Total;2019;14.264
14 Murcia, Región de;Total;2018;14.675
14 Murcia, Región de;Total;2017;15.088
14 Murcia, Región de;Total;2016;15.528
14 Murcia, Región de;Total;2015;15.976
14 Murcia, Región de;Total;2014;16.308
14 Murcia, Región de;Total;2013;16.105
14 Murcia, Región de;Total;2012;16.682
14 Murcia, Región de;Total;2011;17.408
14 Murcia, Región de;Total;2010;18.039
14 Murcia, Región de;Total;2009;18.571
14 Murcia, Región de;Total;2008;19.386
14 Murcia, Región de;Total;2007;18.602
14 Murcia, Región de;Total;2006;18.091
14 Murcia, Región de;Total;2005;17.330
14 Murcia, Región de;Total;2004;16.677
14 Murcia, Región de;Total;2003;16.444
14 Murcia, Región de;Total;2002;15.489
15 Navarra, Comunidad Foral de;Total;2020;5.036
15 Navarra, Comunidad Foral de;Total;2019;5.371
15 Navarra, Comunidad Foral de;Total;2018;5.398
15 Navarra, Comunidad Foral de;Total;2017;5.746
15 Navarra, Comunidad Foral de;Total;2016;5.894
15 Navarra, Comunidad Foral de;Total;2015;6.007
15 Navarra, Comunidad Foral de;Total;2014;6.183
15 Navarra, Comunidad Foral de;Total;2013;6.075
15 Navarra, Comunidad Foral de;Total;2012;6.731
15 Navarra, Comunidad Foral de;Total;2011;6.747
15 Navarra, Comunidad Foral de;Total;2010;6.778
