Provincias;Sexo;Generación;Periodo;Total
02 Albacete;Ambos sexos;19 años;2009S2;-7
02 Albacete;Ambos sexos;19 años;2009S1;2
02 Albacete;Ambos sexos;19 años;2008S2;-20
02 Albacete;Ambos sexos;19 años;2008S1;5
02 Albacete;Ambos sexos;20 años;2021S1;-3
02 Albacete;Ambos sexos;20 años;2020S2;-17
02 Albacete;Ambos sexos;20 años;2020S1;-6
02 Albacete;Ambos sexos;20 años;2019S2;8
02 Albacete;Ambos sexos;20 años;2019S1;-4
02 Albacete;Ambos sexos;20 años;2018S2;-15
02 Albacete;Ambos sexos;20 años;2018S1;0
02 Albacete;Ambos sexos;20 años;2017S2;2
02 Albacete;Ambos sexos;20 años;2017S1;-2
02 Albacete;Ambos sexos;20 años;2016S2;-2
02 Albacete;Ambos sexos;20 años;2016S1;-10
02 Albacete;Ambos sexos;20 años;2015S2;-4
02 Albacete;Ambos sexos;20 años;2015S1;-9
02 Albacete;Ambos sexos;20 años;2014S2;-12
02 Albacete;Ambos sexos;20 años;2014S1;-7
02 Albacete;Ambos sexos;20 años;2013S2;-25
02 Albacete;Ambos sexos;20 años;2013S1;-16
02 Albacete;Ambos sexos;20 años;2012S2;-6
02 Albacete;Ambos sexos;20 años;2012S1;-4
02 Albacete;Ambos sexos;20 años;2011S2;8
02 Albacete;Ambos sexos;20 años;2011S1;-6
02 Albacete;Ambos sexos;20 años;2010S2;-14
02 Albacete;Ambos sexos;20 años;2010S1;2
02 Albacete;Ambos sexos;20 años;2009S2;9
02 Albacete;Ambos sexos;20 años;2009S1;1
02 Albacete;Ambos sexos;20 años;2008S2;-11
02 Albacete;Ambos sexos;20 años;2008S1;-0
02 Albacete;Ambos sexos;21 años;2021S1;-3
02 Albacete;Ambos sexos;21 años;2020S2;18
02 Albacete;Ambos sexos;21 años;2020S1;-5
02 Albacete;Ambos sexos;21 años;2019S2;-4
02 Albacete;Ambos sexos;21 años;2019S1;5
02 Albacete;Ambos sexos;21 años;2018S2;7
02 Albacete;Ambos sexos;21 años;2018S1;-10
02 Albacete;Ambos sexos;21 años;2017S2;-14
02 Albacete;Ambos sexos;21 años;2017S1;-12
02 Albacete;Ambos sexos;21 años;2016S2;-8
02 Albacete;Ambos sexos;21 años;2016S1;-10
02 Albacete;Ambos sexos;21 años;2015S2;-17
02 Albacete;Ambos sexos;21 años;2015S1;-1
02 Albacete;Ambos sexos;21 años;2014S2;2
02 Albacete;Ambos sexos;21 años;2014S1;-16
02 Albacete;Ambos sexos;21 años;2013S2;-12
02 Albacete;Ambos sexos;21 años;2013S1;4
02 Albacete;Ambos sexos;21 años;2012S2;-11
02 Albacete;Ambos sexos;21 años;2012S1;-12
02 Albacete;Ambos sexos;21 años;2011S2;-16
02 Albacete;Ambos sexos;21 años;2011S1;3
02 Albacete;Ambos sexos;21 años;2010S2;-17
02 Albacete;Ambos sexos;21 años;2010S1;-19
02 Albacete;Ambos sexos;21 años;2009S2;1
02 Albacete;Ambos sexos;21 años;2009S1;-5
02 Albacete;Ambos sexos;21 años;2008S2;-1
02 Albacete;Ambos sexos;21 años;2008S1;-2
02 Albacete;Ambos sexos;22 años;2021S1;1
02 Albacete;Ambos sexos;22 años;2020S2;14
02 Albacete;Ambos sexos;22 años;2020S1;-3
02 Albacete;Ambos sexos;22 años;2019S2;-11
02 Albacete;Ambos sexos;22 años;2019S1;5
02 Albacete;Ambos sexos;22 años;2018S2;-3
02 Albacete;Ambos sexos;22 años;2018S1;0
02 Albacete;Ambos sexos;22 años;2017S2;-29
02 Albacete;Ambos sexos;22 años;2017S1;-17
02 Albacete;Ambos sexos;22 años;2016S2;-9
02 Albacete;Ambos sexos;22 años;2016S1;-5
02 Albacete;Ambos sexos;22 años;2015S2;-14
02 Albacete;Ambos sexos;22 años;2015S1;-10
02 Albacete;Ambos sexos;22 años;2014S2;-15
02 Albacete;Ambos sexos;22 años;2014S1;-5
02 Albacete;Ambos sexos;22 años;2013S2;-9
02 Albacete;Ambos sexos;22 años;2013S1;-14
02 Albacete;Ambos sexos;22 años;2012S2;9
02 Albacete;Ambos sexos;22 años;2012S1;-29
02 Albacete;Ambos sexos;22 años;2011S2;-13
02 Albacete;Ambos sexos;22 años;2011S1;-10
02 Albacete;Ambos sexos;22 años;2010S2;-21
02 Albacete;Ambos sexos;22 años;2010S1;7
02 Albacete;Ambos sexos;22 años;2009S2;-5
02 Albacete;Ambos sexos;22 años;2009S1;-16
02 Albacete;Ambos sexos;22 años;2008S2;2
02 Albacete;Ambos sexos;22 años;2008S1;-3
02 Albacete;Ambos sexos;23 años;2021S1;0
02 Albacete;Ambos sexos;23 años;2020S2;-23
02 Albacete;Ambos sexos;23 años;2020S1;1
02 Albacete;Ambos sexos;23 años;2019S2;-22
02 Albacete;Ambos sexos;23 años;2019S1;-17
02 Albacete;Ambos sexos;23 años;2018S2;-11
02 Albacete;Ambos sexos;23 años;2018S1;-17
02 Albacete;Ambos sexos;23 años;2017S2;-27
02 Albacete;Ambos sexos;23 años;2017S1;-22
02 Albacete;Ambos sexos;23 años;2016S2;-10
02 Albacete;Ambos sexos;23 años;2016S1;-20
02 Albacete;Ambos sexos;23 años;2015S2;-38
02 Albacete;Ambos sexos;23 años;2015S1;-33
02 Albacete;Ambos sexos;23 años;2014S2;-23
02 Albacete;Ambos sexos;23 años;2014S1;-9
02 Albacete;Ambos sexos;23 años;2013S2;-20
02 Albacete;Ambos sexos;23 años;2013S1;-10
02 Albacete;Ambos sexos;23 años;2012S2;-21
02 Albacete;Ambos sexos;23 años;2012S1;-16
02 Albacete;Ambos sexos;23 años;2011S2;-22
02 Albacete;Ambos sexos;23 años;2011S1;-28
02 Albacete;Ambos sexos;23 años;2010S2;-26
02 Albacete;Ambos sexos;23 años;2010S1;6
02 Albacete;Ambos sexos;23 años;2009S2;-16
02 Albacete;Ambos sexos;23 años;2009S1;17
02 Albacete;Ambos sexos;23 años;2008S2;-3
02 Albacete;Ambos sexos;23 años;2008S1;5
02 Albacete;Ambos sexos;24 años;2021S1;-3
02 Albacete;Ambos sexos;24 años;2020S2;-36
02 Albacete;Ambos sexos;24 años;2020S1;-5
02 Albacete;Ambos sexos;24 años;2019S2;-32
02 Albacete;Ambos sexos;24 años;2019S1;-25
02 Albacete;Ambos sexos;24 años;2018S2;-13
02 Albacete;Ambos sexos;24 años;2018S1;-34
02 Albacete;Ambos sexos;24 años;2017S2;-28
02 Albacete;Ambos sexos;24 años;2017S1;-25
02 Albacete;Ambos sexos;24 años;2016S2;-31
02 Albacete;Ambos sexos;24 años;2016S1;-17
02 Albacete;Ambos sexos;24 años;2015S2;-36
02 Albacete;Ambos sexos;24 años;2015S1;-36
02 Albacete;Ambos sexos;24 años;2014S2;-42
02 Albacete;Ambos sexos;24 años;2014S1;-21
02 Albacete;Ambos sexos;24 años;2013S2;-11
02 Albacete;Ambos sexos;24 años;2013S1;-16
02 Albacete;Ambos sexos;24 años;2012S2;-28
02 Albacete;Ambos sexos;24 años;2012S1;-26
02 Albacete;Ambos sexos;24 años;2011S2;-11
02 Albacete;Ambos sexos;24 años;2011S1;-22
02 Albacete;Ambos sexos;24 años;2010S2;-9
02 Albacete;Ambos sexos;24 años;2010S1;2
02 Albacete;Ambos sexos;24 años;2009S2;11
02 Albacete;Ambos sexos;24 años;2009S1;-25
02 Albacete;Ambos sexos;24 años;2008S2;-3
02 Albacete;Ambos sexos;24 años;2008S1;-7
02 Albacete;Ambos sexos;25 años;2021S1;-4
02 Albacete;Ambos sexos;25 años;2020S2;-25
02 Albacete;Ambos sexos;25 años;2020S1;-11
02 Albacete;Ambos sexos;25 años;2019S2;-42
02 Albacete;Ambos sexos;25 años;2019S1;-13
02 Albacete;Ambos sexos;25 años;2018S2;-31
02 Albacete;Ambos sexos;25 años;2018S1;-26
02 Albacete;Ambos sexos;25 años;2017S2;-46
02 Albacete;Ambos sexos;25 años;2017S1;-34
02 Albacete;Ambos sexos;25 años;2016S2;-63
02 Albacete;Ambos sexos;25 años;2016S1;-40
02 Albacete;Ambos sexos;25 años;2015S2;-44
02 Albacete;Ambos sexos;25 años;2015S1;-46
02 Albacete;Ambos sexos;25 años;2014S2;-58
02 Albacete;Ambos sexos;25 años;2014S1;-27
02 Albacete;Ambos sexos;25 años;2013S2;-22
02 Albacete;Ambos sexos;25 años;2013S1;-30
02 Albacete;Ambos sexos;25 años;2012S2;-29
02 Albacete;Ambos sexos;25 años;2012S1;-11
02 Albacete;Ambos sexos;25 años;2011S2;-3
02 Albacete;Ambos sexos;25 años;2011S1;4
02 Albacete;Ambos sexos;25 años;2010S2;-15
02 Albacete;Ambos sexos;25 años;2010S1;-15
02 Albacete;Ambos sexos;25 años;2009S2;-30
02 Albacete;Ambos sexos;25 años;2009S1;-8
02 Albacete;Ambos sexos;25 años;2008S2;-11
02 Albacete;Ambos sexos;25 años;2008S1;-23
02 Albacete;Ambos sexos;26 años;2021S1;-6
02 Albacete;Ambos sexos;26 años;2020S2;-22
