
Resultados nacionales
Egresados by Nivel académico, Tipo de universidad, Modalidad de la universidad, Rama de enseñanza, Sexo and Periodo
Unidades: Número de estudiantes

,Total,,,,,,,,,,,,,,,,,,
,Ambos sexos,,,,,,,,,,,,,,,,,,
,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,
Total,
    Total,
        Total,208345.0,189438.0,191803.0,198568.0,203253.0,223596.0,233626.0,213910.0,206685.0,217240.0,197535.0,192614.0,188186.0,187734.0,187335.0,193337.0,196804.0,205656.0,
Notas:
Para los cursos 1985-1986 a 1993-1994 la información se ha obtenido de Anuario Estadístico de España, elaborado por el Instituto Nacional de Estadística. A partir del curso 1994-1995 se corresponde con información propia .
Fuente: Sistema Integrado de Información Universitaria (SIIU). Secretaría General de Universidades.
